Year,1st highlighter,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2020,"United States20,936.600","China14,772.731","Japan5,064.873","Germany3,806.060","United Kingdom2,707.744","India2,622.984","France2,603.004","Italy1,886.445","Canada1,643.408","South Korea1,630.525"
2015,"United States18,036.650","China11,226.186","Japan4,382.420","Germany3,365.293","United Kingdom2,863.304","France2,420.163","India2,088.155","Italy1,825.820","Brazil1,801.482","Canada1,552.808"
2010,"United States14,964.400","China5,812.464","Japan5,793.455","Germany3,309.668","France2,560.002","United Kingdom2,246.079","Brazil2,087.889","Italy2,051.412","India1,729.010","Russia1,638.463"
2005,"United States13,093.700","Japan4,755.980","Germany2,866.308","United Kingdom2,511.165","China2,308.786","France2,207.450","Italy1,855.834","Canada1,169.467","Spain1,159.257",South Korea898.137
2000,"United States10,284.750","Japan4,887.301","Germany1,955.673","United Kingdom1,442.316","France1,327.964","China1,214.912","Italy1,145.109",Canada742.319,Mexico683.650,Brazil655.454
1995,"Japan6,119.000","United States6,115.729","Germany2,594.371","France1,611.198","United Kingdom1,320.618","Italy1,171.510",Brazil786.479,China736.870,Spain612.413,Canada604.034
1990,"United States5,279.592","Japan3,133.547",Soviet Union2‚659.500,"West Germany1,592.710","France1,278.666","Italy1,177.063","United Kingdom1,093.997",Mexico534.177,Brazil533.945,Canada533.920
1985,"United States4,346.717",Soviet Union2‚200.000,"Japan1,401.006",West Germany658.784,France559.846,United Kingdom534.244,Italy458.982,Canada364.771,China312.616,India237.618
1980,"United States2,862.492","Soviet Union1,212.000","Japan1,099.695",West Germany919.609,France691.138,United Kingdom536.369,Italy459.829,Canada268.893,Brazil235.024,China226.003
1975,"United States1,688.900",Soviet Union686.000,Japan512.861,West Germany474.790,France355.608,United Kingdom236.414,Italy219.392,Canada173.487,China160.751,Brazil115.880
1970,"United States1,075.900",Soviet Union433.400,Japan209.071,West Germany208.868,France146.438,United Kingdom124.800,Italy109.257,China91.273,Canada87.734,India62.494
1965,United States712.082,Soviet Union367.400,West Germany124.625,France102.161,United Kingdom100.596,Japan90.950,China69.709,Italy67.978,India60.599,Canada53.910
1960,United States520.531,Soviet Union142.400,West Germany92.172,United Kingdom72.328,France61.552,China61.378,Japan44.307,Canada41.093,Italy40.385,India36.604
